Time,Trip Time,Lost Packets,Voltage,roboRIO CPU,CAN,DS Disabled,DS Auto,DS Tele,Robot Disabled,Robot Auto,Robot Tele,Brownout,Watchdog,
19:43:50.879,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.899,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.919,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.939,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.959,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:50.979,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:50.999,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:51.019,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:51.039,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:51.059,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:51.079,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:51.099,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:51.119,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:51.139,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:51.159,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:51.179,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:51.199,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:51.219,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:51.239,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:51.259,127.5,1,37.375,0,0,True,False,False,False,False,False,False,False,
19:43:51.279,127.5,1,12.9296875,0,0,True,False,False,True,False,False,False,False,
19:43:51.299,127.5,1,12.9296875,0,0,True,False,False,True,False,False,False,False,
19:43:51.319,127.5,1,12.9296875,0,0,True,False,False,False,False,False,False,False,
19:43:51.339,127.5,1,12.921875,0,0,True,False,False,True,False,False,False,False,
19:43:51.359,127.5,1,12.921875,0,0,True,False,False,True,False,False,False,False,
19:43:51.379,127.5,1,12.93359375,0,0,True,False,False,True,False,False,False,False,
19:43:51.399,127.5,1,12.93359375,0,0,True,False,False,True,False,False,False,False,
19:43:51.419,127.5,1,12.93359375,0,0,True,False,False,True,False,False,False,False,
19:43:51.439,127.5,1,12.93359375,0,0,True,False,False,True,False,False,False,False,
19:43:51.459,127.5,1,12.93359375,0,0,True,False,False,True,False,False,False,False,
19:43:51.479,127.5,1,12.93359375,0,0,True,False,False,True,False,False,False,False,
19:43:51.499,127.5,1,12.93359375,0,0,True,False,False,True,False,False,False,False,
19:43:51.519,127.5,1,12.93359375,0,0,True,False,False,True,False,False,False,False,
19:43:51.539,127.5,1,12.921875,0,0,True,False,False,True,False,False,False,False,
19:43:51.559,127.5,1,12.9296875,0,0,True,False,False,True,False,False,False,False,
19:43:51.579,127.5,1,12.9296875,0,0,True,False,False,True,False,False,False,False,
19:43:51.599,127.5,1,12.921875,0,0,True,False,False,True,False,False,False,False,
19:43:51.619,127.5,1,12.93359375,0,0,True,False,False,True,False,False,False,False,
19:43:51.639,127.5,1,12.9296875,0,0,True,False,False,True,False,False,False,False,
